timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,critic1_loss,critic2_loss,actor_loss,alpha_loss,alpha,q1_mean,unique_tilings,wall_time
1370000,162328,1.0542,8.23,0.2700,0.8230,0.0000,0.000478,0.000455,-1.330337,0.043820,0.085014,1.1951,98,14472.8
1380000,163544,1.0787,8.28,0.2900,0.8280,0.0000,0.000496,0.000569,-1.287022,0.006641,0.084506,1.1518,98,14581.0
1390000,164739,1.1805,8.41,0.3800,0.8410,0.0000,0.000449,0.000374,-1.298237,-0.154427,0.084224,1.1576,99,14689.2
1400000,165941,1.1668,8.37,0.3700,0.8370,0.0000,0.000585,0.000456,-1.332907,-0.006216,0.083556,1.1973,99,14797.5
1410000,167121,1.1469,8.37,0.3500,0.8370,0.0000,0.000472,0.000423,-1.307340,0.002401,0.082984,1.1772,100,14905.3
1420000,168289,1.2651,8.68,0.4400,0.8680,0.0000,0.000464,0.000486,-1.390923,-0.062610,0.082648,1.2550,100,15013.8
1430000,169468,1.1161,8.36,0.3200,0.8360,0.0000,0.000462,0.000478,-1.304607,-0.152559,0.082826,1.1625,100,15122.0
1440000,170644,1.1877,8.38,0.3900,0.8380,0.0000,0.000471,0.000395,-1.276678,0.010707,0.082732,1.1427,100,15230.1
1450000,171821,1.2778,8.71,0.4500,0.8710,0.0000,0.000416,0.000372,-1.370026,-0.106258,0.082582,1.2370,100,15338.2
1460000,172991,1.2522,8.54,0.4400,0.8540,0.0000,0.000378,0.000411,-1.286724,-0.073553,0.082337,1.1524,100,15446.3
1470000,174158,1.2460,8.58,0.4300,0.8580,0.0000,0.000515,0.000502,-1.274227,-0.000427,0.082148,1.1411,100,15554.3
1480000,175325,1.2696,8.62,0.4500,0.8620,0.0000,0.000646,0.000520,-1.299963,0.043156,0.082112,1.1662,101,15662.6
1490000,176489,1.1950,8.46,0.3900,0.8460,0.0000,0.000400,0.000433,-1.311206,-0.145088,0.082022,1.1796,101,15770.7
1500000,177660,1.2151,8.57,0.4000,0.8570,0.0000,0.000380,0.000353,-1.258631,0.195671,0.081417,1.1302,101,15878.7
1510000,178823,1.3333,8.77,0.5000,0.8770,0.0000,0.000417,0.000413,-1.347934,0.271110,0.081956,1.2194,101,15986.7
1520000,179982,1.1643,8.45,0.3600,0.8450,0.0000,0.000452,0.000420,-1.304037,-0.304033,0.081445,1.1583,101,16094.8
1530000,181141,1.2069,8.48,0.4000,0.8480,0.0000,0.000501,0.000439,-1.277570,-0.047986,0.081542,1.1435,102,16202.9
1540000,182303,1.1533,8.44,0.3500,0.8440,0.0000,0.000600,0.000502,-1.306782,-0.054067,0.081889,1.1741,102,16311.1
1550000,183456,1.2115,8.53,0.4000,0.8530,0.0000,0.000377,0.000342,-1.300592,-0.059434,0.081242,1.1667,102,16419.4
1560000,184618,1.1705,8.41,0.3700,0.8410,0.0000,0.000448,0.000439,-1.227460,0.208341,0.082091,1.1006,102,16527.4
1570000,185776,1.3534,8.88,0.5100,0.8880,0.0000,0.000425,0.000422,-1.293155,0.210783,0.081041,1.1686,102,16635.6
1580000,186938,1.2959,8.69,0.4700,0.8690,0.0000,0.000437,0.000470,-1.295823,-0.091338,0.082065,1.1560,102,16743.9
1590000,188098,1.2596,8.62,0.4400,0.8620,0.0000,0.000364,0.000375,-1.325635,0.166189,0.082002,1.1913,102,16852.3
1600000,189260,1.2387,8.61,0.4200,0.8610,0.0000,0.000543,0.000396,-1.287587,-0.171717,0.081551,1.1449,102,16960.5
1610000,190415,1.2842,8.67,0.4600,0.8670,0.0000,0.000453,0.000500,-1.254462,-0.068953,0.081779,1.1194,102,17068.7
1620000,191566,1.2007,8.63,0.3800,0.8630,0.0000,0.000468,0.000482,-1.281015,-0.110805,0.081344,1.1441,102,17177.1
1630000,192732,1.2451,8.57,0.4300,0.8570,0.0000,0.000381,0.000487,-1.283386,-0.171594,0.081287,1.1491,102,17285.2
1640000,193885,1.2332,8.55,0.4200,0.8550,0.0000,0.000461,0.000465,-1.311148,-0.160083,0.081739,1.1730,103,17393.3
1650000,195039,1.2242,8.56,0.4100,0.8560,0.0000,0.000331,0.000440,-1.282647,0.149228,0.081515,1.1511,103,17501.6
1660000,196190,1.2279,8.60,0.4100,0.8600,0.0000,0.000367,0.000476,-1.313159,-0.088041,0.081487,1.1793,103,17609.7
1670000,197353,1.2033,8.55,0.3900,0.8550,0.0000,0.000415,0.000431,-1.312694,-0.162512,0.081662,1.1743,103,17717.9
1680000,198514,1.2524,8.65,0.4300,0.8650,0.0000,0.000474,0.000465,-1.322498,-0.053790,0.081182,1.1871,104,17826.4
1690000,199669,1.2178,8.49,0.4100,0.8490,0.0000,0.000560,0.000449,-1.215474,0.303807,0.081860,1.0943,104,17934.8
1700000,200828,1.2797,8.73,0.4500,0.8730,0.0000,0.000413,0.000437,-1.294215,-0.074405,0.081552,1.1574,104,18043.2
1710000,201983,1.2751,8.68,0.4500,0.8680,0.0000,0.000459,0.000396,-1.352863,-0.134672,0.081259,1.2152,105,18151.3
1720000,203137,1.1997,8.51,0.3900,0.8510,0.0000,0.000383,0.000440,-1.286311,-0.058441,0.081513,1.1495,106,18259.5
1730000,204289,1.3242,8.78,0.4900,0.8780,0.0000,0.000443,0.000451,-1.271945,0.103851,0.081876,1.1364,107,18367.6
1740000,205444,1.2742,8.67,0.4500,0.8670,0.0000,0.000354,0.000394,-1.291784,0.143802,0.081031,1.1630,108,18476.0
1750000,206591,1.4179,9.04,0.5600,0.9040,0.0000,0.000482,0.000387,-1.221591,-0.056671,0.081281,1.0879,108,18584.1
1760000,207747,1.1941,8.45,0.3900,0.8450,0.0000,0.000441,0.000433,-1.341475,-0.188181,0.081422,1.1971,108,18692.4
1770000,208900,1.3042,8.78,0.4700,0.8780,0.0000,0.000447,0.000411,-1.324142,0.164279,0.081343,1.1921,108,18800.6
1780000,210055,1.2270,8.59,0.4100,0.8590,0.0000,0.000442,0.000483,-1.268921,0.176979,0.081226,1.1420,108,18908.7
1790000,211204,1.3379,8.82,0.5000,0.8820,0.0000,0.000457,0.000429,-1.299501,0.004772,0.081669,1.1629,108,19017.0
1800000,212360,1.1970,8.59,0.3800,0.8590,0.0000,0.000383,0.000431,-1.254323,0.249738,0.081710,1.1232,108,19125.3
1810000,213519,1.1524,8.43,0.3500,0.8430,0.0000,0.000377,0.000362,-1.324421,0.023865,0.081589,1.1889,108,19233.7
