update,timestep,episode,mean_reward,mean_length,success_rate,mean_coverage,invalid_rate,policy_loss,value_loss,entropy,approx_kl,unique_tilings,wall_time
730,1495040,246295,0.5985,6.68,0.0000,0.3750,0.4600,-0.030538,0.003485,1.3896,0.044590,0,4794.7
740,1515520,249414,0.5386,6.29,0.0000,0.2010,0.7100,-0.044611,0.005829,1.4459,0.075557,0,4861.0
750,1536000,252570,0.5911,6.62,0.0000,0.3630,0.4800,-0.028982,0.003076,1.4668,0.037295,0,4927.4
760,1556480,255746,0.6055,6.82,0.0000,0.3230,0.5300,-0.028726,0.003074,1.5526,0.040864,0,4993.3
770,1576960,258836,0.5717,6.35,0.0000,0.4100,0.4100,-0.032091,0.004761,1.4645,0.040525,0,5059.3
780,1597440,261871,0.5826,6.58,0.0000,0.3290,0.5300,-0.034226,0.003611,1.3639,0.050015,0,5125.7
790,1617920,264950,0.5718,6.40,0.0000,0.3750,0.4600,-0.034316,0.005284,1.4910,0.049243,0,5192.0
800,1638400,268131,0.6061,6.67,0.0000,0.4380,0.3700,-0.023347,0.003400,1.4612,0.042502,0,5258.4
810,1658880,271297,0.5890,6.51,0.0000,0.4230,0.3900,-0.032611,0.005213,1.2821,0.053923,0,5324.9
820,1679360,274401,0.6373,6.95,0.0000,0.4750,0.3200,-0.026640,0.002731,1.3557,0.036217,0,5391.4
830,1699840,277481,0.6071,6.67,0.0000,0.4440,0.3600,-0.025608,0.002708,1.2696,0.037662,0,5457.9
840,1720320,280579,0.5855,6.56,0.0000,0.3580,0.4800,-0.026795,0.004127,1.2792,0.045617,0,5524.3
850,1740800,283720,0.6221,6.77,0.0000,0.4870,0.3000,-0.027300,0.003229,1.3967,0.037619,0,5590.3
860,1761280,286852,0.5681,6.33,0.0000,0.3970,0.4300,-0.038731,0.006442,1.3102,0.090591,0,5656.6
870,1781760,289968,0.5891,6.55,0.0000,0.3980,0.4300,-0.032508,0.003544,1.3705,0.044561,0,5722.9
880,1802240,293281,0.5941,6.70,0.0000,0.3280,0.5300,-0.033519,0.003550,1.4812,0.041011,0,5789.3
890,1822720,296408,0.6081,6.73,0.0000,0.4090,0.4100,-0.028354,0.003116,1.3206,0.038250,0,5855.8
900,1843200,299435,0.6106,6.70,0.0000,0.4520,0.3500,-0.023655,0.003541,1.2471,0.040016,0,5922.2
910,1863680,302526,0.5801,6.49,0.0000,0.3770,0.4600,-0.034835,0.003749,1.3764,0.036294,0,5988.7
920,1884160,305636,0.5829,6.40,0.0000,0.4590,0.3400,-0.029292,0.004782,1.2777,0.051146,0,6055.2
930,1904640,308808,0.5476,6.14,0.0000,0.3850,0.4500,-0.040295,0.006182,1.4736,0.047316,0,6121.6
940,1925120,311986,0.5404,6.10,0.0000,0.3540,0.4900,-0.044385,0.006617,1.3569,0.073117,0,6187.8
950,1945600,315167,0.6297,6.86,0.0000,0.4800,0.3100,-0.024281,0.002147,1.4329,0.034817,0,6253.9
960,1966080,318242,0.6230,6.80,0.0000,0.4740,0.3200,-0.025092,0.003227,1.3974,0.036995,0,6320.4
970,1986560,321320,0.6005,6.63,0.0000,0.4230,0.3900,-0.032187,0.003411,1.3651,0.044900,0,6386.8
